record_id,Timestamp,Location,Latitude,Longitude,Day_of_Week,Hour_of_Day,Incident_Congestion,Weather_Condition,Road_Condition,Vehicle_Type,Vehicle_Damage,Accident_Severity,Accident_Reason,Driver_Violation,Number_of_Deaths,Number_of_Injuries,Summary_Road_Name,Daily_Traffic_Volume,Daily_Average_Speed,Daily_Congestion_Level,Daily_Incident_Reports,Daily_Public_Transport_Usage,Daily_Parking_Usage,Day_of_Week_Name,Time_of_Day,Day_of_Week_Num,Month,Is_Weekend
11,2023-07-05 02:57:00,HSR Layout,12.910205,77.630226,Wednesday,2,Light,Overcast,Under Construction,Motorcycle,Moderate,Minor,Distracted Driving,Overspeeding,0,1,27th Main Road,46512,17.75,69.72,0,30.86,86.92,Wednesday,Night,2,7,0
12,2023-06-10 08:42:00,Whitefield,12.960967,77.755202,Saturday,8,Very Heavy,Clear,Wet,Car,Moderate,Minor,Ignoring Signal,No Helmet,0,1,Marathahalli Bridge,42680,15.07,64.83,0,53.42,61.58,Saturday,Morning,5,6,1
13,2023-06-05 06:53:00,HSR Layout,12.922154,77.636114,Monday,6,Moderate,Raining,Potholes,Bicycle,Minor,Minor,Ignoring Signal,Jumping Signal,0,1,27th Main Road,31497,29.58,45.3,0,36.03,67.39,Monday,Morning,0,6,0
14,2023-02-10 15:28:00,Koramangala,12.937151,77.628353,Friday,15,Light,Overcast,Wet,Truck,Moderate,Minor,Drunk Driving,Overspeeding,0,1,80 Feet Road,45302,19.15,68.97,0,44.98,96.01,Friday,Afternoon,4,2,0
15,2023-09-12 22:07:00,Koramangala,12.943179,77.618013,Tuesday,22,Moderate,Cloudy,Wet,Bicycle,Minor,Minor,Drunk Driving,No Helmet,0,1,80 Feet Road,27281,36.62,48.02,0,57.8,51.35,Tuesday,Night,1,9,0
16,2023-11-10 19:47:00,Indiranagar,12.973373,77.64534,Friday,19,Very Heavy,Haze,Wet,Motorcycle,Minor,Minor,Ignoring Signal,No Helmet,0,1,100 Feet Road,30530,33.89,43.1,0,74.77,89.65,Friday,Evening,4,11,0
17,2023-06-09 04:38:00,Jayanagar,12.928467,77.585303,Friday,4,Light,Overcast,Dry,Bicycle,Unknown,No Injury,Distracted Driving,No Helmet,0,0,4th Block Complex,51019,5.15,80.84,1,42.97,58.05,Friday,Night,4,6,0
18,2023-06-21 09:55:00,Indiranagar,12.980206,77.645004,Wednesday,9,Very Heavy,Foggy,Dry,Bus,Minor,Minor,Drunk Driving,Jumping Signal,0,2,100 Feet Road,13558,46.38,30.0,0,66.11,96.06,Wednesday,Morning,2,6,0
19,2023-11-08 13:50:00,Indiranagar,12.971361,77.649864,Wednesday,13,Light,Cloudy,Under Construction,Bicycle,Severe,Serious,Ignoring Signal,Jumping Signal,0,1,CMH Road,9343,49.71,30.0,0,45.42,58.52,Wednesday,Afternoon,2,11,0
20,2023-11-06 10:33:00,Indiranagar,12.97921,77.652457,Monday,10,Very Heavy,Haze,Wet,Car,Moderate,Serious,Distracted Driving,Overspeeding,0,2,100 Feet Road,14906,45.55,30.0,0,32.63,95.66,Monday,Morning,0,11,0
21,2023-03-10 00:29:00,Koramangala,12.928777,77.619931,Friday,0,Light,Clear,Wet,Bus,Severe,Fatal,Ignoring Signal,Overspeeding,1,2,Sony World Junction,44392,10.81,64.1,0,80.25,89.91,Friday,Night,4,3,0
22,2023-02-08 06:36:00,Indiranagar,12.973135,77.644552,Wednesday,6,Moderate,Cloudy,Dry,Motorcycle,Moderate,Serious,Distracted Driving,Overspeeding,0,2,100 Feet Road,33506,27.08,46.56,0,60.12,74.68,Wednesday,Morning,2,2,0
23,2023-06-24 15:07:00,Koramangala,12.937211,77.631377,Saturday,15,Light,Overcast,Dry,Motorcycle,Minor,Minor,Ignoring Signal,No Helmet,0,1,Sony World Junction,59269,8.21,90.4,0,79.34,59.84,Saturday,Afternoon,5,6,1
24,2023-07-23 00:17:00,Jayanagar,12.9451,77.589189,Sunday,0,Light,Overcast,Under Construction,Car,Minor,Minor,Drunk Driving,Unknown,0,1,South End Circle,6342,56.66,30.0,0,51.68,89.99,Sunday,Night,6,7,1
25,2023-12-14 23:05:00,Whitefield,12.989605,77.748891,Thursday,23,Moderate,Foggy,Wet,Car,Moderate,Minor,Drunk Driving,Unknown,0,2,Marathahalli Bridge,5950,50.5,30.0,0,62.83,85.5,Thursday,Night,3,12,0
26,2023-07-23 23:23:00,HSR Layout,12.912759,77.643724,Sunday,23,Moderate,Clear,Potholes,Auto Rickshaw,Severe,Fatal,Drunk Driving,No Helmet,1,1,Outer Ring Road,37660,24.15,60.28,0,55.05,74.43,Sunday,Night,6,7,1
27,2023-12-12 14:17:00,Whitefield,12.971829,77.758183,Tuesday,14,Light,Clear,Wet,Bicycle,Minor,Minor,Drunk Driving,Unknown,0,2,Marathahalli Bridge,9917,49.54,30.0,1,63.39,80.42,Tuesday,Afternoon,1,12,0
28,2023-02-07 17:36:00,Indiranagar,12.981464,77.646064,Tuesday,17,Very Heavy,Haze,Potholes,Auto Rickshaw,Moderate,Minor,Drunk Driving,Unknown,0,1,100 Feet Road,37716,24.38,59.19,0,41.65,61.53,Tuesday,Evening,1,2,0
29,2023-11-16 00:26:00,HSR Layout,12.923875,77.637392,Thursday,0,Light,Overcast,Wet,Motorcycle,Severe,Serious,Ignoring Signal,Unknown,0,2,27th Main Road,58356,6.88,87.31,1,31.38,90.77,Thursday,Night,3,11,0
30,2023-06-12 07:18:00,Jayanagar,12.937204,77.581857,Monday,7,Moderate,Foggy,Dry,Truck,Minor,Minor,Distracted Driving,Jumping Signal,0,2,4th Block Complex,5759,51.85,30.0,4,77.46,50.38,Monday,Morning,0,6,0
31,2023-07-29 10:07:00,Whitefield,12.966242,77.763924,Saturday,10,Heavy,Raining,Dry,Truck,Minor,Minor,Speeding,Unknown,0,1,ITPL Main Road,45217,13.07,69.41,0,76.53,89.59,Saturday,Morning,5,7,1
32,2023-10-13 23:43:00,Koramangala,12.94336,77.621385,Friday,23,Moderate,Raining,Dry,Auto Rickshaw,Moderate,Minor,Distracted Driving,Unknown,0,2,80 Feet Road,25446,32.45,33.93,0,66.55,59.54,Friday,Night,4,10,0
33,2023-11-05 08:43:00,Koramangala,12.932373,77.62273,Sunday,8,Very Heavy,Cloudy,Under Construction,Bus,Moderate,Minor,Drunk Driving,Jumping Signal,0,1,Sony World Junction,23928,40.79,42.34,0,32.73,70.55,Sunday,Morning,6,11,1
34,2023-05-30 04:02:00,Jayanagar,12.922064,77.591042,Tuesday,4,Moderate,Raining,Wet,Auto Rickshaw,Minor,Minor,Speeding,Overspeeding,0,1,4th Block Complex,53039,14.73,86.15,0,36.51,74.89,Tuesday,Night,1,5,0
35,2023-01-12 05:25:00,Indiranagar,12.977129,77.641259,Thursday,5,Moderate,Foggy,Under Construction,Motorcycle,Minor,Minor,Distracted Driving,Unknown,0,2,CMH Road,49958,13.32,83.59,0,62.37,70.75,Thursday,Morning,3,1,0
36,2023-04-03 01:04:00,Whitefield,12.98394,77.749665,Monday,1,Light,Raining,Potholes,Auto Rickshaw,Minor,Minor,Ignoring Signal,No Helmet,0,2,ITPL Main Road,53915,9.83,83.51,0,35.58,51.46,Monday,Night,0,4,0
37,2023-10-10 15:41:00,Jayanagar,12.944712,77.583774,Tuesday,15,Moderate,Clear,Wet,Bus,Minor,Minor,Speeding,Overspeeding,0,2,South End Circle,33683,27.58,60.88,0,60.18,57.34,Tuesday,Afternoon,1,10,0
38,2023-07-22 06:52:00,Koramangala,12.934826,77.629859,Saturday,6,Light,Cloudy,Potholes,Bicycle,Unknown,No Injury,Ignoring Signal,Jumping Signal,0,0,80 Feet Road,29010,31.12,47.88,0,46.29,70.31,Saturday,Morning,5,7,1
39,2023-03-08 11:14:00,Jayanagar,12.934772,77.591452,Wednesday,11,Heavy,Overcast,Potholes,Auto Rickshaw,Moderate,Minor,Drunk Driving,No Helmet,0,1,4th Block Complex,8728,48.54,30.0,0,42.94,56.2,Wednesday,Morning,2,3,0
40,2023-08-30 20:27:00,Jayanagar,12.931292,77.574373,Wednesday,20,Heavy,Clear,Under Construction,Truck,Moderate,Minor,Drunk Driving,No Helmet,0,1,South End Circle,58506,12.58,95.95,0,82.44,74.82,Wednesday,Evening,2,8,0
41,2023-05-06 08:52:00,Whitefield,12.964837,77.727444,Saturday,8,Very Heavy,Clear,Dry,Bicycle,Moderate,Minor,Speeding,Unknown,0,1,Marathahalli Bridge,47653,7.94,70.91,0,80.27,81.78,Saturday,Morning,5,5,1
42,2023-04-29 01:31:00,HSR Layout,12.914091,77.655369,Saturday,1,Moderate,Cloudy,Wet,Bus,Minor,Minor,Speeding,Unknown,0,2,Outer Ring Road,46973,16.5,72.69,0,48.27,98.8,Saturday,Night,5,4,1
43,2023-11-08 20:23:00,Jayanagar,12.923976,77.587109,Wednesday,20,Very Heavy,Foggy,Potholes,Bus,Moderate,Serious,Speeding,No Helmet,1,1,South End Circle,47992,14.99,78.13,0,71.24,70.58,Wednesday,Evening,2,11,0
44,2023-11-11 01:36:00,Jayanagar,12.941971,77.57551,Saturday,1,Light,Clear,Under Construction,Bicycle,Moderate,Minor,Speeding,Unknown,0,2,South End Circle,29086,29.67,38.72,0,79.8,86.03,Saturday,Night,5,11,1
45,2023-08-27 20:16:00,HSR Layout,12.92638,77.644538,Sunday,20,Very Heavy,Haze,Dry,Auto Rickshaw,Minor,Minor,Ignoring Signal,No Helmet,0,1,Outer Ring Road,28382,28.32,41.93,1,84.46,56.79,Sunday,Evening,6,8,1
46,2023-08-13 10:35:00,Koramangala,12.942009,77.625946,Sunday,10,Very Heavy,Clear,Under Construction,Bus,Moderate,Minor,Distracted Driving,Unknown,0,1,Sony World Junction,27746,29.49,48.78,0,64.46,66.23,Sunday,Morning,6,8,1
47,2023-03-31 23:36:00,Jayanagar,12.923937,77.595513,Friday,23,Moderate,Overcast,Dry,Car,Moderate,Minor,Distracted Driving,No Helmet,0,2,4th Block Complex,31644,32.86,50.72,1,64.48,70.97,Friday,Night,4,3,0
48,2023-08-28 23:11:00,Indiranagar,12.97008,77.65234,Monday,23,Light,Foggy,Potholes,Bicycle,Minor,Minor,Speeding,Overspeeding,0,2,CMH Road,37465,22.85,53.77,0,57.05,60.57,Monday,Night,0,8,0
49,2023-09-22 09:48:00,HSR Layout,12.912619,77.636371,Friday,9,Very Heavy,Overcast,Potholes,Motorcycle,Moderate,Serious,Ignoring Signal,No Helmet,0,3,27th Main Road,45203,16.73,75.7,0,56.68,72.01,Friday,Morning,4,9,0
50,2023-12-02 03:07:00,HSR Layout,12.916492,77.635858,Saturday,3,Light,Foggy,Under Construction,Truck,Severe,Fatal,Speeding,Overspeeding,2,1,27th Main Road,34081,22.04,58.76,0,45.98,51.52,Saturday,Night,5,12,1
51,2023-03-15 19:21:00,Koramangala,12.940063,77.615678,Wednesday,19,Very Heavy,Clear,Wet,Bus,Severe,Serious,Distracted Driving,Overspeeding,4,2,Sony World Junction,26170,33.24,38.18,0,77.28,91.41,Wednesday,Evening,2,3,0
52,2023-10-25 23:43:00,HSR Layout,12.923062,77.630405,Wednesday,23,Moderate,Haze,Dry,Truck,Moderate,Minor,Speeding,Jumping Signal,0,1,Outer Ring Road,19064,43.23,30.0,0,36.02,56.32,Wednesday,Night,2,10,0
53,2023-11-13 12:23:00,Koramangala,12.94314,77.624664,Monday,12,Light,Overcast,Dry,Motorcycle,Moderate,Minor,Speeding,Overspeeding,0,2,80 Feet Road,28835,33.87,46.13,0,61.48,86.5,Monday,Afternoon,0,11,0
54,2023-06-18 04:06:00,Koramangala,12.935463,77.62122,Sunday,4,Light,Cloudy,Wet,Car,Unknown,No Injury,Drunk Driving,No Helmet,0,0,Sony World Junction,5398,49.72,30.0,1,67.95,56.47,Sunday,Night,6,6,1
55,2023-06-28 05:26:00,Indiranagar,12.97129,77.653861,Wednesday,5,Moderate,Raining,Wet,Motorcycle,Moderate,Minor,Distracted Driving,No Helmet,0,2,100 Feet Road,50349,14.31,83.68,1,46.89,86.34,Wednesday,Morning,2,6,0
56,2023-01-01 19:21:00,Jayanagar,12.945705,77.580768,Sunday,19,Heavy,Foggy,Potholes,Truck,Unknown,No Injury,Speeding,Jumping Signal,0,0,South End Circle,59150,11.02,95.63,1,38.7,84.67,Sunday,Evening,6,1,1
57,2023-10-23 18:27:00,Indiranagar,12.971198,77.639779,Monday,18,Very Heavy,Raining,Potholes,Car,Severe,Serious,Drunk Driving,Jumping Signal,4,4,CMH Road,54210,10.68,80.42,0,31.96,52.75,Monday,Evening,0,10,0
58,2023-03-03 08:04:00,Koramangala,12.934472,77.622751,Friday,8,Heavy,Cloudy,Wet,Bus,Unknown,No Injury,Distracted Driving,Unknown,0,0,80 Feet Road,24614,33.6,39.37,0,69.29,76.2,Friday,Morning,4,3,0
59,2023-09-24 06:26:00,Jayanagar,12.944201,77.576731,Sunday,6,Moderate,Overcast,Potholes,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,1,4th Block Complex,20870,36.08,30.0,0,82.99,60.89,Sunday,Morning,6,9,1
60,2023-09-04 16:01:00,HSR Layout,12.912617,77.634748,Monday,16,Moderate,Haze,Potholes,Motorcycle,Moderate,Minor,Speeding,Unknown,0,2,27th Main Road,43081,21.09,69.95,0,57.12,75.39,Monday,Afternoon,0,9,0
61,2023-06-09 20:58:00,Whitefield,12.987779,77.732854,Friday,20,Heavy,Raining,Potholes,Auto Rickshaw,Minor,Minor,Ignoring Signal,Jumping Signal,0,2,ITPL Main Road,10007,52.83,30.0,0,37.22,70.19,Friday,Evening,4,6,0
62,2023-10-22 12:06:00,Indiranagar,12.97034,77.644693,Sunday,12,Moderate,Cloudy,Dry,Car,Moderate,Minor,Drunk Driving,No Helmet,0,1,100 Feet Road,18547,43.23,30.13,0,35.91,88.45,Sunday,Afternoon,6,10,1
63,2023-10-02 11:40:00,Indiranagar,12.978663,77.642929,Monday,11,Heavy,Haze,Dry,Auto Rickshaw,Minor,Minor,Ignoring Signal,Overspeeding,0,1,100 Feet Road,30337,30.4,46.97,0,77.27,73.68,Monday,Morning,0,10,0
64,2023-08-02 17:14:00,Indiranagar,12.975866,77.646175,Wednesday,17,Heavy,Foggy,Under Construction,Truck,Unknown,No Injury,Distracted Driving,Jumping Signal,0,0,100 Feet Road,12052,43.91,30.0,0,48.02,87.37,Wednesday,Evening,2,8,0
65,2023-04-17 03:17:00,Whitefield,12.963546,77.726856,Monday,3,Light,Haze,Potholes,Truck,Moderate,Minor,Ignoring Signal,Jumping Signal,0,1,Marathahalli Bridge,26292,35.22,36.72,2,43.77,71.8,Monday,Night,0,4,0
66,2023-09-15 08:37:00,Indiranagar,12.972269,77.63794,Friday,8,Heavy,Foggy,Under Construction,Bicycle,Minor,Minor,Drunk Driving,Overspeeding,0,1,100 Feet Road,7198,57.6,30.0,0,70.27,92.21,Friday,Morning,4,9,0
67,2023-04-08 19:00:00,HSR Layout,12.917517,77.652889,Saturday,19,Heavy,Raining,Dry,Bus,Minor,Minor,Distracted Driving,Overspeeding,0,2,Outer Ring Road,56733,10.61,90.72,0,74.64,51.68,Saturday,Evening,5,4,1
68,2023-06-19 05:00:00,Whitefield,12.965175,77.727334,Monday,5,Light,Clear,Dry,Car,Severe,Serious,Ignoring Signal,Jumping Signal,0,4,ITPL Main Road,48532,13.53,78.58,0,53.4,79.54,Monday,Morning,0,6,0
69,2023-10-30 05:37:00,HSR Layout,12.912525,77.651545,Monday,5,Light,Haze,Dry,Bicycle,Moderate,Minor,Ignoring Signal,No Helmet,0,1,27th Main Road,56398,12.0,91.05,0,31.83,63.34,Monday,Morning,0,10,0
70,2023-05-10 06:14:00,Jayanagar,12.944287,77.593166,Wednesday,6,Light,Haze,Potholes,Auto Rickshaw,Minor,Minor,Drunk Driving,Overspeeding,0,2,4th Block Complex,58527,7.12,97.78,0,79.29,97.36,Wednesday,Morning,2,5,0
71,2023-04-04 01:37:00,Jayanagar,12.925739,77.581992,Tuesday,1,Moderate,Clear,Under Construction,Truck,Minor,Minor,Drunk Driving,Overspeeding,0,1,South End Circle,50290,6.89,74.65,0,64.94,77.98,Tuesday,Night,1,4,0
72,2023-06-05 03:47:00,Jayanagar,12.923768,77.58884,Monday,3,Light,Foggy,Wet,Bus,Unknown,No Injury,Speeding,Unknown,0,0,South End Circle,20140,39.17,32.86,0,35.25,75.72,Monday,Night,0,6,0
73,2023-09-22 11:17:00,Koramangala,12.939468,77.624272,Friday,11,Heavy,Cloudy,Under Construction,Truck,Minor,Minor,Ignoring Signal,No Helmet,0,1,Sony World Junction,56301,5.89,98.6,0,68.63,52.85,Friday,Morning,4,9,0
74,2023-03-08 17:41:00,Indiranagar,12.973035,77.650306,Wednesday,17,Heavy,Clear,Under Construction,Car,Severe,Fatal,Ignoring Signal,Jumping Signal,2,3,100 Feet Road,11118,51.33,30.0,0,66.87,96.24,Wednesday,Evening,2,3,0
75,2023-11-05 06:30:00,HSR Layout,12.917979,77.631481,Sunday,6,Light,Cloudy,Potholes,Car,Minor,Minor,Drunk Driving,No Helmet,0,1,Outer Ring Road,29673,32.11,40.63,1,57.86,53.33,Sunday,Morning,6,11,1
76,2023-06-22 16:02:00,Indiranagar,12.974773,77.650961,Thursday,16,Light,Haze,Potholes,Car,Severe,Serious,Speeding,Unknown,2,1,CMH Road,45126,12.31,72.85,1,34.62,68.06,Thursday,Afternoon,3,6,0
77,2023-01-20 12:44:00,Whitefield,12.991564,77.751288,Friday,12,Light,Foggy,Potholes,Bus,Unknown,No Injury,Drunk Driving,Jumping Signal,0,0,ITPL Main Road,26033,33.29,42.33,0,43.43,60.37,Friday,Afternoon,4,1,0
78,2023-04-27 04:55:00,Whitefield,12.956727,77.752839,Thursday,4,Light,Clear,Wet,Motorcycle,Minor,Minor,Distracted Driving,Overspeeding,0,1,ITPL Main Road,6216,52.95,30.0,0,53.0,95.95,Thursday,Night,3,4,0
79,2023-11-05 04:35:00,Indiranagar,12.977811,77.644293,Sunday,4,Moderate,Overcast,Under Construction,Truck,Severe,Serious,Drunk Driving,No Helmet,0,1,100 Feet Road,30347,31.25,50.67,0,67.75,79.16,Sunday,Night,6,11,1
80,2023-07-27 11:07:00,Koramangala,12.937294,77.62707,Thursday,11,Very Heavy,Cloudy,Potholes,Motorcycle,Unknown,No Injury,Ignoring Signal,Jumping Signal,0,0,Sony World Junction,6717,51.0,30.0,0,62.86,64.64,Thursday,Morning,3,7,0
81,2023-11-14 07:42:00,Koramangala,12.934298,77.620831,Tuesday,7,Moderate,Clear,Potholes,Bicycle,Minor,Minor,Speeding,Overspeeding,0,1,Sony World Junction,36620,25.85,58.15,1,83.04,80.82,Tuesday,Morning,1,11,0
82,2023-01-16 12:00:00,HSR Layout,12.912105,77.646959,Monday,12,Light,Haze,Potholes,Bicycle,Moderate,Minor,Speeding,Unknown,0,1,27th Main Road,59587,12.39,95.75,0,62.19,98.75,Monday,Afternoon,0,1,0
83,2023-10-10 17:49:00,HSR Layout,12.911741,77.648162,Tuesday,17,Heavy,Haze,Wet,Auto Rickshaw,Moderate,Serious,Drunk Driving,Jumping Signal,0,2,Outer Ring Road,10845,47.18,30.0,1,67.53,66.73,Tuesday,Evening,1,10,0
84,2023-11-09 18:06:00,Indiranagar,12.970537,77.642435,Thursday,18,Very Heavy,Haze,Potholes,Auto Rickshaw,Moderate,Minor,Ignoring Signal,Jumping Signal,0,2,CMH Road,29491,34.97,50.93,0,33.27,83.0,Thursday,Evening,3,11,0
85,2023-05-15 14:17:00,Jayanagar,12.936609,77.584806,Monday,14,Light,Cloudy,Dry,Bus,Severe,Serious,Drunk Driving,No Helmet,0,4,4th Block Complex,28433,35.81,41.35,0,35.8,92.69,Monday,Afternoon,0,5,0
86,2023-03-18 07:04:00,Whitefield,12.962904,77.733884,Saturday,7,Moderate,Overcast,Potholes,Truck,Unknown,No Injury,Drunk Driving,Overspeeding,0,0,ITPL Main Road,37220,22.69,54.29,0,68.45,70.33,Saturday,Morning,5,3,1
87,2023-07-22 01:18:00,Jayanagar,12.937507,77.595063,Saturday,1,Light,Cloudy,Dry,Motorcycle,Moderate,Serious,Speeding,Unknown,0,3,4th Block Complex,49518,8.61,75.05,0,56.49,69.97,Saturday,Night,5,7,1
88,2023-11-23 16:33:00,Indiranagar,12.980161,77.645036,Thursday,16,Moderate,Cloudy,Wet,Motorcycle,Unknown,No Injury,Ignoring Signal,Jumping Signal,0,0,100 Feet Road,5570,58.01,30.0,0,66.46,82.5,Thursday,Afternoon,3,11,0
89,2023-04-03 22:15:00,Whitefield,12.974788,77.735837,Monday,22,Light,Raining,Potholes,Truck,Minor,Minor,Distracted Driving,Overspeeding,0,2,ITPL Main Road,53915,9.83,83.51,0,35.58,51.46,Monday,Night,0,4,0
90,2023-08-27 20:10:00,Jayanagar,12.924926,77.576727,Sunday,20,Very Heavy,Cloudy,Dry,Truck,Minor,Minor,Drunk Driving,Overspeeding,0,2,South End Circle,43266,13.54,75.01,0,59.26,51.41,Sunday,Evening,6,8,1
91,2023-08-19 11:39:00,Whitefield,12.96284,77.738761,Saturday,11,Heavy,Overcast,Under Construction,Car,Severe,Serious,Ignoring Signal,Overspeeding,0,4,ITPL Main Road,48245,14.78,77.89,0,75.93,63.13,Saturday,Morning,5,8,1
92,2023-01-22 04:10:00,Jayanagar,12.943247,77.591237,Sunday,4,Moderate,Cloudy,Under Construction,Bus,Moderate,Minor,Ignoring Signal,Jumping Signal,0,2,South End Circle,10343,53.38,30.0,0,71.17,92.2,Sunday,Night,6,1,1
93,2023-11-01 13:10:00,Whitefield,12.979054,77.7519,Wednesday,13,Moderate,Overcast,Under Construction,Motorcycle,Minor,Minor,Speeding,Overspeeding,0,1,Marathahalli Bridge,19040,40.7,30.0,0,69.73,58.42,Wednesday,Afternoon,2,11,0
94,2023-09-15 19:39:00,Whitefield,12.983575,77.749889,Friday,19,Very Heavy,Haze,Under Construction,Bicycle,Moderate,Minor,Distracted Driving,Overspeeding,0,2,ITPL Main Road,51835,6.16,86.51,0,47.12,95.46,Friday,Evening,4,9,0
95,2023-08-26 03:18:00,Jayanagar,12.92682,77.577486,Saturday,3,Moderate,Haze,Wet,Bicycle,Minor,Minor,Ignoring Signal,No Helmet,0,2,South End Circle,34647,30.11,51.83,0,30.72,75.28,Saturday,Night,5,8,1
96,2023-11-25 18:34:00,Whitefield,12.963387,77.76198,Saturday,18,Heavy,Cloudy,Under Construction,Motorcycle,Moderate,Minor,Distracted Driving,Jumping Signal,0,2,ITPL Main Road,26623,29.78,42.09,0,41.13,79.62,Saturday,Evening,5,11,1
97,2023-07-21 13:29:00,Indiranagar,12.983191,77.653834,Friday,13,Light,Clear,Potholes,Auto Rickshaw,Minor,Minor,Drunk Driving,No Helmet,0,2,100 Feet Road,22531,41.52,34.71,1,42.34,51.73,Friday,Afternoon,4,7,0
98,2023-07-09 02:57:00,Whitefield,12.984091,77.748288,Sunday,2,Moderate,Clear,Under Construction,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,1,Marathahalli Bridge,42032,20.65,66.66,4,51.55,95.78,Sunday,Night,6,7,1
99,2023-04-15 21:11:00,Jayanagar,12.937907,77.584326,Saturday,21,Moderate,Overcast,Dry,Car,Minor,Minor,Speeding,Jumping Signal,0,2,South End Circle,34648,21.65,59.69,1,51.51,61.92,Saturday,Night,5,4,1
100,2023-05-27 22:10:00,Jayanagar,12.934685,77.579502,Saturday,22,Light,Raining,Under Construction,Bus,Moderate,Minor,Ignoring Signal,No Helmet,0,2,South End Circle,10172,47.41,30.0,0,57.99,52.28,Saturday,Night,5,5,1
101,2023-05-23 23:08:00,HSR Layout,12.916928,77.645108,Tuesday,23,Moderate,Raining,Dry,Motorcycle,Minor,Minor,Distracted Driving,Unknown,0,2,Outer Ring Road,24200,37.13,43.72,0,61.7,88.83,Tuesday,Night,1,5,0
102,2023-12-29 17:57:00,Indiranagar,12.979363,77.648244,Friday,17,Heavy,Overcast,Potholes,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,2,100 Feet Road,29512,34.8,41.94,1,67.12,80.37,Friday,Evening,4,12,0
103,2023-10-01 00:21:00,Whitefield,12.972084,77.732569,Sunday,0,Light,Overcast,Under Construction,Motorcycle,Moderate,Minor,Drunk Driving,No Helmet,0,1,Marathahalli Bridge,44407,19.0,68.57,0,43.44,54.92,Sunday,Night,6,10,1
104,2023-02-20 10:18:00,Whitefield,12.960717,77.734732,Monday,10,Very Heavy,Haze,Wet,Motorcycle,Minor,Minor,Distracted Driving,Unknown,0,2,Marathahalli Bridge,29553,28.12,49.67,0,74.57,71.24,Monday,Morning,0,2,0
