record_id,Timestamp,Location,Latitude,Longitude,Day_of_Week,Hour_of_Day,Incident_Congestion,Weather_Condition,Road_Condition,Vehicle_Type,Vehicle_Damage,Accident_Severity,Accident_Reason,Driver_Violation,Number_of_Deaths,Number_of_Injuries,Summary_Road_Name,Daily_Traffic_Volume,Daily_Average_Speed,Daily_Congestion_Level,Daily_Incident_Reports,Daily_Public_Transport_Usage,Daily_Parking_Usage
35,1/12/2023 5:25,Indiranagar,12.885066,77.556597,Thursday,5,Moderate,Foggy,Under Construction,Motorcycle,Minor,Minor,Distracted Driving,None,0,2,CMH Road,49958,13.32,83.59,0,62.37,70.75
36,4/3/2023 1:04,Whitefield,12.86833,77.536156,Monday,1,Light,Raining,Potholes,Auto Rickshaw,Minor,Minor,Ignoring Signal,No Helmet,0,2,ITPL Main Road,53915,9.83,83.51,0,35.58,51.46
37,10/10/2023 15:41,Jayanagar,12.999549,77.672639,Tuesday,15,Moderate,Clear,Wet,Bus,Minor,Minor,Speeding,Overspeeding,0,2,South End Circle,33683,27.58,60.88,0,60.18,57.34
38,7/22/2023 6:52,Koramangala,13.104828,77.554226,Saturday,6,Light,Cloudy,Potholes,Bicycle,None,No Injury,Ignoring Signal,Jumping Signal,0,0,80 Feet Road,29010,31.12,47.88,0,46.29,70.31
39,3/8/2023 11:14,Jayanagar,12.862921,77.731535,Wednesday,11,Heavy,Overcast,Potholes,Auto Rickshaw,Moderate,Minor,Drunk Driving,No Helmet,0,1,4th Block Complex,8728,48.54,30,0,42.94,56.2
40,8/30/2023 20:27,Jayanagar,12.87847,77.666796,Wednesday,20,Heavy,Clear,Under Construction,Truck,Moderate,Minor,Drunk Driving,No Helmet,0,1,South End Circle,58506,12.58,95.95,0,82.44,74.82
41,5/6/2023 8:52,Whitefield,12.887626,77.532336,Saturday,8,Very Heavy,Clear,Dry,Bicycle,Moderate,Minor,Speeding,None,0,1,Marathahalli Bridge,47653,7.94,70.91,0,80.27,81.78
42,4/29/2023 1:31,HSR Layout,13.088034,77.459851,Saturday,1,Moderate,Cloudy,Wet,Bus,Minor,Minor,Speeding,None,0,2,Outer Ring Road,46973,16.5,72.69,0,48.27,98.8
43,11/8/2023 20:23,Jayanagar,12.823393,77.721214,Wednesday,20,Very Heavy,Foggy,Potholes,Bus,Moderate,Serious,Speeding,No Helmet,1,1,South End Circle,47992,14.99,78.13,0,71.24,70.58
44,11/11/2023 1:36,Jayanagar,12.93531,77.519305,Saturday,1,Light,Clear,Under Construction,Bicycle,Moderate,Minor,Speeding,None,0,2,South End Circle,29086,29.67,38.72,0,79.8,86.03
45,8/27/2023 20:16,HSR Layout,12.92737,77.626931,Sunday,20,Very Heavy,Haze,Dry,Auto Rickshaw,Minor,Minor,Ignoring Signal,No Helmet,0,1,Outer Ring Road,28382,28.32,41.93,1,84.46,56.79
46,8/13/2023 10:35,Koramangala,12.880327,77.686262,Sunday,10,Very Heavy,Clear,Under Construction,Bus,Moderate,Minor,Distracted Driving,None,0,1,Sony World Junction,27746,29.49,48.78,0,64.46,66.23
47,3/31/2023 23:36,Jayanagar,13.004353,77.602374,Friday,23,Moderate,Overcast,Dry,Car,Moderate,Minor,Distracted Driving,No Helmet,0,2,4th Block Complex,31644,32.86,50.72,1,64.48,70.97
48,8/28/2023 23:11,Indiranagar,13.069703,77.533709,Monday,23,Light,Foggy,Potholes,Bicycle,Minor,Minor,Speeding,Overspeeding,0,2,CMH Road,37465,22.85,53.77,0,57.05,60.57
49,9/22/2023 9:48,HSR Layout,13.042613,77.580851,Friday,9,Very Heavy,Overcast,Potholes,Motorcycle,Moderate,Serious,Ignoring Signal,No Helmet,0,3,27th Main Road,45203,16.73,75.7,0,56.68,72.01
50,12/2/2023 3:07,HSR Layout,12.902563,77.579296,Saturday,3,Light,Foggy,Under Construction,Truck,Severe,Fatal,Speeding,Overspeeding,2,1,27th Main Road,34081,22.04,58.76,0,45.98,51.52
51,3/15/2023 19:21,Koramangala,13.09862,77.645712,Wednesday,19,Very Heavy,Clear,Wet,Bus,Severe,Serious,Distracted Driving,Overspeeding,4,2,Sony World Junction,26170,33.24,38.18,0,77.28,91.41
52,10/25/2023 23:43,HSR Layout,13.051386,77.569146,Wednesday,23,Moderate,Haze,Dry,Truck,Moderate,Minor,Speeding,Jumping Signal,0,1,Outer Ring Road,19064,43.23,30,0,36.02,56.32
53,11/13/2023 12:23,Koramangala,12.876978,77.653051,Monday,12,Light,Overcast,Dry,Motorcycle,Moderate,Minor,Speeding,Overspeeding,0,2,80 Feet Road,28835,33.87,46.13,0,61.48,86.5
54,6/18/2023 4:06,Koramangala,12.94343,77.611021,Sunday,4,Light,Cloudy,Wet,Car,None,No Injury,Drunk Driving,No Helmet,0,0,Sony World Junction,5398,49.72,30,1,67.95,56.47
55,6/28/2023 5:26,Indiranagar,13.100115,77.546639,Wednesday,5,Moderate,Raining,Wet,Motorcycle,Moderate,Minor,Distracted Driving,No Helmet,0,2,100 Feet Road,50349,14.31,83.68,1,46.89,86.34
56,1/1/2023 19:21,Jayanagar,13.03723,77.553517,Sunday,19,Heavy,Foggy,Potholes,Truck,None,No Injury,Speeding,Jumping Signal,0,0,South End Circle,59150,11.02,95.63,1,38.7,84.67
57,10/23/2023 18:27,Indiranagar,13.01397,77.446175,Monday,18,Very Heavy,Raining,Potholes,Car,Severe,Serious,Drunk Driving,Jumping Signal,4,4,CMH Road,54210,10.68,80.42,0,31.96,52.75
58,3/3/2023 8:04,Koramangala,13.094011,77.555871,Friday,8,Heavy,Cloudy,Wet,Bus,None,No Injury,Distracted Driving,None,0,0,80 Feet Road,24614,33.6,39.37,0,69.29,76.2
59,9/24/2023 6:26,Jayanagar,12.892811,77.633115,Sunday,6,Moderate,Overcast,Potholes,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,1,4th Block Complex,20870,36.08,30,0,82.99,60.89
60,9/4/2023 16:01,HSR Layout,12.970915,77.576795,Monday,16,Moderate,Haze,Potholes,Motorcycle,Moderate,Minor,Speeding,None,0,2,27th Main Road,43081,21.09,69.95,0,57.12,75.39
61,6/9/2023 20:58,Whitefield,12.852135,77.451604,Friday,20,Heavy,Raining,Potholes,Auto Rickshaw,Minor,Minor,Ignoring Signal,Jumping Signal,0,2,ITPL Main Road,10007,52.83,30,0,37.22,70.19
62,10/22/2023 12:06,Indiranagar,12.83682,77.58618,Sunday,12,Moderate,Cloudy,Dry,Car,Moderate,Minor,Drunk Driving,No Helmet,0,1,100 Feet Road,18547,43.23,30.13,0,35.91,88.45
63,10/2/2023 11:40,Indiranagar,13.120275,77.646839,Monday,11,Heavy,Haze,Dry,Auto Rickshaw,Minor,Minor,Ignoring Signal,Overspeeding,0,1,100 Feet Road,30337,30.4,46.97,0,77.27,73.68
64,8/2/2023 17:14,Indiranagar,12.883072,77.574314,Wednesday,17,Heavy,Foggy,Under Construction,Truck,None,No Injury,Distracted Driving,Jumping Signal,0,0,100 Feet Road,12052,43.91,30,0,48.02,87.37
65,4/17/2023 3:17,Whitefield,12.888913,77.700466,Monday,3,Light,Haze,Potholes,Truck,Moderate,Minor,Ignoring Signal,Jumping Signal,0,1,Marathahalli Bridge,26292,35.22,36.72,2,43.77,71.8
66,9/15/2023 8:37,Indiranagar,13.074086,77.708086,Friday,8,Heavy,Foggy,Under Construction,Bicycle,Minor,Minor,Drunk Driving,Overspeeding,0,1,100 Feet Road,7198,57.6,30,0,70.27,92.21
67,4/8/2023 19:00,HSR Layout,13.001644,77.512413,Saturday,19,Heavy,Raining,Dry,Bus,Minor,Minor,Distracted Driving,Overspeeding,0,2,Outer Ring Road,56733,10.61,90.72,0,74.64,51.68
68,6/19/2023 5:00,Whitefield,12.894664,77.53642,Monday,5,Light,Clear,Dry,Car,Severe,Serious,Ignoring Signal,Jumping Signal,0,4,ITPL Main Road,48532,13.53,78.58,0,53.4,79.54
69,10/30/2023 5:37,HSR Layout,12.923998,77.550033,Monday,5,Light,Haze,Dry,Bicycle,Moderate,Minor,Ignoring Signal,No Helmet,0,1,27th Main Road,56398,12,91.05,0,31.83,63.34
70,5/10/2023 6:14,Jayanagar,12.896796,77.499715,Wednesday,6,Light,Haze,Potholes,Auto Rickshaw,Minor,Minor,Drunk Driving,Overspeeding,0,2,4th Block Complex,58527,7.12,97.78,0,79.29,97.36
71,4/4/2023 1:37,Jayanagar,12.837037,77.671927,Tuesday,1,Moderate,Clear,Under Construction,Truck,Minor,Minor,Drunk Driving,Overspeeding,0,1,South End Circle,50290,6.89,74.65,0,64.94,77.98
72,6/5/2023 3:47,Jayanagar,13.053016,77.534405,Monday,3,Light,Foggy,Wet,Bus,None,No Injury,Speeding,None,0,0,South End Circle,20140,39.17,32.86,0,35.25,75.72
73,9/22/2023 11:17,Koramangala,12.885619,77.725077,Friday,11,Heavy,Cloudy,Under Construction,Truck,Minor,Minor,Ignoring Signal,No Helmet,0,1,Sony World Junction,56301,5.89,98.6,0,68.63,52.85
74,3/8/2023 17:41,Indiranagar,13.000767,77.704367,Wednesday,17,Heavy,Clear,Under Construction,Car,Severe,Fatal,Ignoring Signal,Jumping Signal,2,3,100 Feet Road,11118,51.33,30,0,66.87,96.24
75,11/5/2023 6:30,HSR Layout,13.048304,77.730905,Sunday,6,Light,Cloudy,Potholes,Car,Minor,Minor,Drunk Driving,No Helmet,0,1,Outer Ring Road,29673,32.11,40.63,1,57.86,53.33
76,6/22/2023 16:02,Indiranagar,13.034241,77.512337,Thursday,16,Light,Haze,Potholes,Car,Severe,Serious,Speeding,None,2,1,CMH Road,45126,12.31,72.85,1,34.62,68.06
77,1/20/2023 12:44,Whitefield,13.017529,77.568043,Friday,12,Light,Foggy,Potholes,Bus,None,No Injury,Drunk Driving,Jumping Signal,0,0,ITPL Main Road,26033,33.29,42.33,0,43.43,60.37
78,4/27/2023 4:55,Whitefield,12.904028,77.57369,Thursday,4,Light,Clear,Wet,Motorcycle,Minor,Minor,Distracted Driving,Overspeeding,0,1,ITPL Main Road,6216,52.95,30,0,53,95.95
79,11/5/2023 4:35,Indiranagar,12.851792,77.613813,Sunday,4,Moderate,Overcast,Under Construction,Truck,Severe,Serious,Drunk Driving,No Helmet,0,1,100 Feet Road,30347,31.25,50.67,0,67.75,79.16
80,7/27/2023 11:07,Koramangala,13.060927,77.488825,Thursday,11,Very Heavy,Cloudy,Potholes,Motorcycle,None,No Injury,Ignoring Signal,Jumping Signal,0,0,Sony World Junction,6717,51,30,0,62.86,64.64
81,11/14/2023 7:42,Koramangala,13.09219,77.565827,Tuesday,7,Moderate,Clear,Potholes,Bicycle,Minor,Minor,Speeding,Overspeeding,0,1,Sony World Junction,36620,25.85,58.15,1,83.04,80.82
82,1/16/2023 12:00,HSR Layout,13.030114,77.447099,Monday,12,Light,Haze,Potholes,Bicycle,Moderate,Minor,Speeding,None,0,1,27th Main Road,59587,12.39,95.75,0,62.19,98.75
83,10/10/2023 17:49,HSR Layout,12.909679,77.677374,Tuesday,17,Heavy,Haze,Wet,Auto Rickshaw,Moderate,Serious,Drunk Driving,Jumping Signal,0,2,Outer Ring Road,10845,47.18,30,1,67.53,66.73
84,11/9/2023 18:06,Indiranagar,13.046526,77.701189,Thursday,18,Very Heavy,Haze,Potholes,Auto Rickshaw,Moderate,Minor,Ignoring Signal,Jumping Signal,0,2,CMH Road,29491,34.97,50.93,0,33.27,83
85,5/15/2023 14:17,Jayanagar,13.077119,77.45652,Monday,14,Light,Cloudy,Dry,Bus,Severe,Serious,Drunk Driving,No Helmet,0,4,4th Block Complex,28433,35.81,41.35,0,35.8,92.69
86,3/18/2023 7:04,Whitefield,12.892015,77.695006,Saturday,7,Moderate,Overcast,Potholes,Truck,None,No Injury,Drunk Driving,Overspeeding,0,0,ITPL Main Road,37220,22.69,54.29,0,68.45,70.33
87,7/22/2023 1:18,Jayanagar,12.900965,77.535659,Saturday,1,Light,Cloudy,Dry,Motorcycle,Moderate,Serious,Speeding,None,0,3,4th Block Complex,49518,8.61,75.05,0,56.49,69.97
88,11/23/2023 16:33,Indiranagar,12.92091,77.540817,Thursday,16,Moderate,Cloudy,Wet,Motorcycle,None,No Injury,Ignoring Signal,Jumping Signal,0,0,100 Feet Road,5570,58.01,30,0,66.46,82.5
89,4/3/2023 22:15,Whitefield,12.845172,77.708813,Monday,22,Light,Raining,Potholes,Truck,Minor,Minor,Distracted Driving,Overspeeding,0,2,ITPL Main Road,53915,9.83,83.51,0,35.58,51.46
90,8/27/2023 20:10,Jayanagar,13.080751,77.610533,Sunday,20,Very Heavy,Cloudy,Dry,Truck,Minor,Minor,Drunk Driving,Overspeeding,0,2,South End Circle,43266,13.54,75.01,0,59.26,51.41
91,8/19/2023 11:39,Whitefield,13.060711,77.733101,Saturday,11,Heavy,Overcast,Under Construction,Car,Severe,Serious,Ignoring Signal,Overspeeding,0,4,ITPL Main Road,48245,14.78,77.89,0,75.93,63.13
92,1/22/2023 4:10,Jayanagar,12.873897,77.525641,Sunday,4,Moderate,Cloudy,Under Construction,Bus,Moderate,Minor,Ignoring Signal,Jumping Signal,0,2,South End Circle,10343,53.38,30,0,71.17,92.2
93,11/1/2023 13:10,Whitefield,13.024561,77.450045,Wednesday,13,Moderate,Overcast,Under Construction,Motorcycle,Minor,Minor,Speeding,Overspeeding,0,1,Marathahalli Bridge,19040,40.7,30,0,69.73,58.42
94,9/15/2023 19:39,Whitefield,13.080762,77.664328,Friday,19,Very Heavy,Haze,Under Construction,Bicycle,Moderate,Minor,Distracted Driving,Overspeeding,0,2,ITPL Main Road,51835,6.16,86.51,0,47.12,95.46
95,8/26/2023 3:18,Jayanagar,12.953436,77.625877,Saturday,3,Moderate,Haze,Wet,Bicycle,Minor,Minor,Ignoring Signal,No Helmet,0,2,South End Circle,34647,30.11,51.83,0,30.72,75.28
96,11/25/2023 18:34,Whitefield,12.821834,77.535007,Saturday,18,Heavy,Cloudy,Under Construction,Motorcycle,Moderate,Minor,Distracted Driving,Jumping Signal,0,2,ITPL Main Road,26623,29.78,42.09,0,41.13,79.62
97,7/21/2023 13:29,Indiranagar,13.012308,77.530188,Friday,13,Light,Clear,Potholes,Auto Rickshaw,Minor,Minor,Drunk Driving,No Helmet,0,2,100 Feet Road,22531,41.52,34.71,1,42.34,51.73
98,7/9/2023 2:57,Whitefield,13.050954,77.678503,Sunday,2,Moderate,Clear,Under Construction,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,1,Marathahalli Bridge,42032,20.65,66.66,4,51.55,95.78
99,4/15/2023 21:11,Jayanagar,12.98239,77.741668,Saturday,21,Moderate,Overcast,Dry,Car,Minor,Minor,Speeding,Jumping Signal,0,2,South End Circle,34648,21.65,59.69,1,51.51,61.92
100,5/27/2023 22:10,Jayanagar,12.957396,77.569675,Saturday,22,Light,Raining,Under Construction,Bus,Moderate,Minor,Ignoring Signal,No Helmet,0,2,South End Circle,10172,47.41,30,0,57.99,52.28
101,5/23/2023 23:08,HSR Layout,12.967685,77.618103,Tuesday,23,Moderate,Raining,Dry,Motorcycle,Minor,Minor,Distracted Driving,None,0,2,Outer Ring Road,24200,37.13,43.72,0,61.7,88.83
102,12/29/2023 17:57,Indiranagar,12.823354,77.55579,Friday,17,Heavy,Overcast,Potholes,Motorcycle,Moderate,Minor,Speeding,No Helmet,0,2,100 Feet Road,29512,34.8,41.94,1,67.12,80.37
103,10/1/2023 0:21,Whitefield,12.951233,77.673297,Sunday,0,Light,Overcast,Under Construction,Motorcycle,Moderate,Minor,Drunk Driving,No Helmet,0,1,Marathahalli Bridge,44407,19,68.57,0,43.44,54.92
104,2/20/2023 10:18,Whitefield,12.909167,77.622894,Monday,10,Very Heavy,Haze,Wet,Motorcycle,Minor,Minor,Distracted Driving,None,0,2,Marathahalli Bridge,29553,28.12,49.67,0,74.57,71.24
105,10/31/2023 6:56,Indiranagar,13.025405,77.720044,Tuesday,6,Light,Cloudy,Dry,Car,Moderate,Minor,Distracted Driving,None,0,2,CMH Road,17478,44.17,33.35,0,66.16,57.44
106,4/16/2023 22:47,Indiranagar,13.11367,77.712292,Sunday,22,Light,Foggy,Wet,Auto Rickshaw,None,No Injury,Ignoring Signal,None,0,0,100 Feet Road,35374,20.66,54.15,0,44.93,86.21
107,2/12/2023 22:46,HSR Layout,12.93339,77.645497,Sunday,22,Light,Clear,Dry,Bicycle,Severe,Fatal,Drunk Driving,No Helmet,2,1,27th Main Road,52707,5.45,86.09,0,73.13,54.24
108,12/4/2023 5:45,Whitefield,12.912312,77.586372,Monday,5,Light,Raining,Dry,Truck,Minor,Minor,Drunk Driving,None,0,1,Marathahalli Bridge,13635,47.61,30,0,77.11,72.42
109,10/13/2023 4:15,HSR Layout,12.886049,77.71785,Friday,4,Light,Cloudy,Under Construction,Auto Rickshaw,None,No Injury,Speeding,Overspeeding,0,0,27th Main Road,48592,13.83,81.6,1,39.02,89.28
110,7/8/2023 5:16,Koramangala,13.066552,77.704826,Saturday,5,Light,Cloudy,Under Construction,Truck,Minor,Minor,Speeding,No Helmet,0,1,Sony World Junction,48824,15.92,72.81,0,37.47,86.5
111,10/27/2023 4:31,Indiranagar,12.893643,77.498532,Friday,4,Light,Clear,Under Construction,Motorcycle,Minor,Minor,Ignoring Signal,No Helmet,0,2,100 Feet Road,59467,13.76,96.19,1,52.54,97.43
112,1/28/2023 17:22,Indiranagar,12.990597,77.55314,Saturday,17,Heavy,Clear,Under Construction,Truck,Severe,Fatal,Drunk Driving,No Helmet,2,1,100 Feet Road,52634,14.21,82.06,0,65.44,81.19
113,7/5/2023 23:36,Whitefield,12.916503,77.555939,Wednesday,23,Light,Haze,Under Construction,Auto Rickshaw,Minor,Minor,Drunk Driving,None,0,1,ITPL Main Road,46627,13.98,81.31,0,31.89,79.14
114,1/24/2023 20:39,Indiranagar,12.979272,77.498699,Tuesday,20,Very Heavy,Foggy,Dry,Bus,Moderate,Serious,Speeding,Overspeeding,0,1,100 Feet Road,38170,25.43,54.64,0,65.11,73.82
115,7/11/2023 22:39,Koramangala,12.949263,77.686889,Tuesday,22,Light,Haze,Wet,Bicycle,Moderate,Minor,Distracted Driving,No Helmet,0,2,80 Feet Road,56283,14.37,83.99,0,69.67,62.24
116,5/7/2023 18:07,HSR Layout,13.056431,77.580404,Sunday,18,Heavy,Raining,Dry,Auto Rickshaw,Minor,Minor,Speeding,None,0,1,27th Main Road,38549,22.72,59.91,1,31.81,66.78
117,7/29/2023 6:10,Jayanagar,12.889405,77.726741,Saturday,6,Moderate,Haze,Potholes,Truck,Moderate,Serious,Speeding,Overspeeding,0,4,4th Block Complex,31557,24.73,45.57,1,61.84,65.38
118,5/4/2023 8:19,Koramangala,12.954259,77.744093,Thursday,8,Heavy,Overcast,Dry,Car,Moderate,Minor,Distracted Driving,None,0,2,Sony World Junction,15080,44.82,30,4,73.52,84.83
119,2/27/2023 21:36,Jayanagar,12.918504,77.57798,Monday,21,Moderate,Overcast,Wet,Motorcycle,Minor,Minor,Ignoring Signal,Overspeeding,0,1,South End Circle,13317,46.24,30,1,48.23,67.05
120,10/26/2023 22:21,Koramangala,12.848351,77.566324,Thursday,22,Light,Cloudy,Under Construction,Truck,Minor,Minor,Ignoring Signal,Jumping Signal,0,1,80 Feet Road,41771,22.63,64.95,0,62.88,90.11
121,4/12/2023 14:12,HSR Layout,12.852917,77.482888,Wednesday,14,Moderate,Cloudy,Wet,Motorcycle,Minor,Minor,Drunk Driving,Jumping Signal,0,1,27th Main Road,25047,36.11,39.25,3,63.11,60.65
122,7/13/2023 14:46,Indiranagar,12.826358,77.489609,Thursday,14,Moderate,Foggy,Under Construction,Motorcycle,Moderate,Minor,Distracted Driving,None,0,2,CMH Road,17086,43.03,31.88,0,51.36,67.19
